Id,Labels,Caring ,Intuitive,Aware,Cold,Distant,Uncommunicative,Inflexible,Stubborn,Independent,Assertive,Logical,Protective,Strong,Needy,Manipulative,Dependent,Weak,Emotional,Compassionate,Nurturing ,Sensitive
caring1,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring2,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring3,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring4,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring5,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring6,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring7,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring8,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring9,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring10,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring11,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring12,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring13,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring14,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring15,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring16,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring17,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring18,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring19,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring20,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring21,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring22,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring23,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring24,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring25,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring26,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring27,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring28,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring29,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring30,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring31,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring32,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring33,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring34,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring35,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring36,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring37,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring38,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring39,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring40,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring41,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring42,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring43,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring44,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring45,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring46,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring47,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring48,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring49,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring50,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring51,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring52,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring53,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring54,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring55,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring56,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring57,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring58,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring59,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring60,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring61,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring62,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring63,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring64,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring65,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caring66,[‘Caring’],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
