Id,Labels,Nurturing,Creative,Rational,Sensitive,Determined,Introspective
SH00001,[‘Nurturing’],1,0,0,0,0,0
SH00002,[‘Nurturing’],1,0,0,0,0,0
SH00003,[‘Nurturing’],1,0,0,0,0,0
SH00004,[‘Nurturing’],1,0,0,0,0,0
SH00005,[‘Nurturing’],1,0,0,0,0,0
SH00006,[‘Nurturing’],1,0,0,0,0,0
SH00007,[‘Nurturing’],1,0,0,0,0,0
SH00008,[‘Nurturing’],1,0,0,0,0,0
SH00009,[‘Nurturing’],1,0,0,0,0,0
SH00010,[‘Nurturing’],1,0,0,0,0,0
SH00011,[‘Nurturing’],1,0,0,0,0,0
SH00012,[‘Nurturing’],1,0,0,0,0,0
SH00013,[‘Nurturing’],1,0,0,0,0,0
SH00014,[‘Nurturing’],1,0,0,0,0,0
SH00015,[‘Nurturing’],1,0,0,0,0,0
SH00016,[‘Nurturing’],1,0,0,0,0,0
SH00017,[‘Nurturing’],1,0,0,0,0,0
SH00018,[‘Nurturing’],1,0,0,0,0,0
SH00019,[‘Nurturing’],1,0,0,0,0,0
SH00020,[‘Nurturing’],1,0,0,0,0,0
SH00021,[‘Nurturing’],1,0,0,0,0,0
SH00022,[‘Nurturing’],1,0,0,0,0,0
SH00023,[‘Nurturing’],1,0,0,0,0,0
SH00024,[‘Nurturing’],1,0,0,0,0,0
SH00025,[‘Nurturing’],1,0,0,0,0,0
SH00026,[‘Nurturing’],1,0,0,0,0,0
SH00027,[‘Nurturing’],1,0,0,0,0,0
SH00028,[‘Nurturing’],1,0,0,0,0,0
SH00029,[‘Nurturing’],1,0,0,0,0,0
SH00030,[‘Nurturing’],1,0,0,0,0,0
SH00031,[‘Nurturing’],1,0,0,0,0,0
SH00032,[‘Nurturing’],1,0,0,0,0,0
SH00033,[‘Nurturing’],1,0,0,0,0,0
SH00034,[‘Nurturing’],1,0,0,0,0,0
SH00035,[‘Nurturing’],1,0,0,0,0,0
SH00036,[‘Nurturing’],1,0,0,0,0,0
SH00037,[‘Nurturing’],1,0,0,0,0,0
SH00038,[‘Nurturing’],1,0,0,0,0,0
SH00039,[‘Nurturing’],1,0,0,0,0,0
SH00040,[‘Nurturing’],1,0,0,0,0,0
SH00041,[‘Nurturing’],1,0,0,0,0,0
SH00042,[‘Nurturing’],1,0,0,0,0,0
SH00043,[‘Nurturing’],1,0,0,0,0,0
SH00044,[‘Nurturing’],1,0,0,0,0,0
SH00045,[‘Nurturing’],1,0,0,0,0,0
SH00046,[‘Nurturing’],1,0,0,0,0,0
SH00047,[‘Nurturing’],1,0,0,0,0,0
SH00048,[‘Nurturing’],1,0,0,0,0,0
SH00049,[‘Nurturing’],1,0,0,0,0,0
SH00050,[‘Nurturing’],1,0,0,0,0,0
